ID,Name,Start Time,Location,Host URL,Time Updated
95,Youth Fellowship,1/08/2017 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-56b915eb-0156-c334f3a4-000058e4demobedework%40mysite.edu_20170108T220000Z,2016-12-14 10:05:33.764128
96,Catholic Mass - Duke Chapel,1/08/2017 21:00,Goodson Chapel,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-4cc8788f-014c-dd94d9f5-000004bfdemobedework%40mysite.edu_20170109T020000Z,2016-12-14 10:05:33.764133
97,LIVE FOR LIFE @ Duke HealthCheck - Nasher Museum of Art Classroom,1/09/2017 10:00,Nasher Museum of Art,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58f8fdd2-0158-f9b388a6-00003b41demobedework%40mysite.edu,2016-12-14 10:05:33.764138
98,Role of RNA Binding Proteins in Gut Homeostasis: IMPlicating Epithelial IMP1 in Inflammatory Bowel Disease and Cancer,1/09/2017 11:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58eecd42-0158-f8bd28c7-0000066fdemobedework%40mysite.edu,2016-12-14 10:05:33.764144
99,LIVE FOR LIFE @ Duke HealthCheck - Allen Building,1/10/2017 10:00,Allen 103A,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58f8fdd2-0158-f9d4d329-000042e0demobedework%40mysite.edu,2016-12-14 10:05:33.764151
100,Pinnell Center Monthly Meeting,1/10/2017 11:30,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-55e4695f-0155-e4b099bb-00000480demobedework%40mysite.edu_20170110T163000Z,2016-12-14 10:05:33.764159
101,Neurobiology Invited Seminar,1/10/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-568e4c6c-0156-8e6bc236-000012cfdemobedework%40mysite.edu,2016-12-14 10:05:33.764164
102,Practicing What We Teach: Real-World Strategies That Increase Student Social Determinants of Health Knowledge for Application in Health Care,1/10/2017 12:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-58726f33-0158-886c5eb7-00005621demobedework%40mysite.edu,2016-12-14 10:05:33.764169
103,Tuning probiotic bacteria to maximize their beneficial effects,1/10/2017 17:00,,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ef-5743f5a9-0157-4910a5bd-00005bf3demobedework%40mysite.edu,2016-12-14 10:05:33.764175
104,Walk With a Doc,1/10/2017 17:30,Marshall I. Pickens Building,calendar.duke.edu/events/show?fq=id%3ACAL-8a0870ee-55e441e6-0155-efbccd07-0000643bdemobedework%40mysite.edu_20170110T223000Z,2016-12-14 10:05:33.764181
